IP,THR,AC,PSS
140.115.135.1,0.00520833333333,31,31.1612903226
140.115.135.105,0.0,22,35.5454545455
140.115.135.111,0.0,29,498.206896552
140.115.135.115,0.0,22,14587.6363636
140.115.135.121,0.0,30,314.266666667
140.115.135.127,0.0,21,28.4761904762
140.115.135.128,0.0,23,32.0
140.115.135.129,0.0,23,36.0
140.115.135.130,0.0,25,34.96
140.115.135.132,0.0,6,1187.33333333
140.115.135.135,0.0,8,582.125
140.115.135.149,0.0,2,911.0
140.115.135.151,0,0,0
140.115.135.152,0,0,0
140.115.135.153,0.0,20,4691.15
140.115.135.156,0.0,1,65.0
140.115.135.18,0.0104166666667,26,232.346153846
140.115.135.180,0.0,31,306.548387097
140.115.135.205,0.0,20,179.25
140.115.135.23,0.0,26,38.9230769231
140.115.135.230,0.0208333333333,18,35.7777777778
140.115.135.231,0.0,18,35.7777777778
140.115.135.233,0.0,22,43.9090909091
140.115.135.235,0.0208333333333,29,172.137931034
140.115.135.24,0.0,1,2795.0
140.115.135.240,0.0520833333333,21,93832.2857143
140.115.135.245,0.0104166666667,25,304.04
140.115.135.246,0.0104166666667,8,791.375
140.115.135.25,0.0,18,229.166666667
140.115.135.253,0.0208333333333,28,149.285714286
140.115.135.27,0.0,5,298.4
140.115.135.30,0.0,33,481.727272727
140.115.135.31,0.0,8,40.25
140.115.135.36,0.0,1,1679.0
140.115.135.4,0.0,15,36.8
140.115.135.42,0.0,23,36.0
140.115.135.45,0.0,6,30.6666666667
140.115.135.51,0.0,10,32.2
140.115.135.56,0.0,12,30.6666666667
140.115.135.6,0.0,17,35.1764705882
140.115.135.62,0,0,0
140.115.135.75,0.371590504403,227,17953.369163
140.115.135.82,0,0,0
140.115.135.84,0.0277777777778,81,75916.9604938
140.115.135.86,0.0,25,33.12
140.115.50.100,0.0,20,673.15
140.115.50.101,0.0,6,38.3333333333
140.115.50.11,0.0,26,40.6923076923
140.115.50.110,0.0208333333333,13,191.307692308
140.115.50.12,0.0,5,2638.0
140.115.50.136,0,0,0
140.115.50.139,0.0,18,30.6666666667
140.115.50.14,0.203506148133,356,40615.1044944
140.115.50.143,0.0,20,39.1
140.115.50.153,0.00694444444444,31,175.096774194
140.115.50.164,0,0,0
140.115.50.167,0.13125,89,24058.8876404
140.115.50.172,0.0,2,309.5
140.115.50.18,0.0,21,41.619047619
140.115.50.186,0.0,2,314.5
140.115.50.187,0.479166666667,23,5508.0
140.115.50.19,0.0,22,31.3636363636
140.115.50.21,0.0104166666667,21,37.2380952381
140.115.50.210,0.0652761047436,1976,22566.9853239
140.115.50.212,0.0,18,200.944444444
140.115.50.213,0.0104166666667,21,116.285714286
140.115.50.216,0.0,12,235.0
140.115.50.217,0.0483171518498,125,93524.0128
140.115.50.219,0.0,5,36.8
140.115.50.22,0.0,26,33.6153846154
140.115.50.221,0.0,17,199.529411765
140.115.50.222,0.0208333333333,22,190.181818182
140.115.50.223,0.0520833333333,23,193.434782609
140.115.50.23,0.0208333333333,21,41.619047619
140.115.50.234,0.0,9,348.0
140.115.50.24,0.196775793651,77,66524.574026
140.115.50.249,0.0,20,36.8
140.115.50.28,0.0,22,39.7272727273
140.115.50.30,0.0,7,39.4285714286
140.115.50.31,0.0,27,34.0740740741
140.115.50.32,0.0,5,1264.2
140.115.50.33,0.0,23,34.0
140.115.50.34,0.0,24,44.0833333333
140.115.50.35,0.0,20,36.8
140.115.50.36,0.0,10,1369.1
140.115.50.37,0.0173611111111,16,1452.25
140.115.50.38,0.0,13,1256.61538462
140.115.50.39,0.0,5,2555.4
