IP,THR,AC,PSS
140.115.135.1,0.0,30,23.0
140.115.135.105,0.0,21,32.8571428571
140.115.135.111,0.0,16,559.1875
140.115.135.115,0.0,7,410.428571429
140.115.135.121,0.0,27,734.518518519
140.115.135.127,0.0,18,40.8888888889
140.115.135.128,0.0,16,31.625
140.115.135.129,0.0,17,35.1764705882
140.115.135.130,0.0,15,36.8
140.115.135.132,0.0,8,1995.0
140.115.135.135,0.0,9,442.666666667
140.115.135.149,0.0,11,1459.36363636
140.115.135.151,0,0,0
140.115.135.152,0,0,0
140.115.135.153,0.0,7,3486.71428571
140.115.135.156,0,0,0
140.115.135.18,0.0,23,656.043478261
140.115.135.180,0.00520833333333,19,76.5263157895
140.115.135.205,0.0,21,634.857142857
140.115.135.23,0.0,11,41.8181818182
140.115.135.230,0.0,8,34.5
140.115.135.231,0.0,7,46.0
140.115.135.233,0.0104166666667,17,37.8823529412
140.115.135.235,0.0,15,474.333333333
140.115.135.24,0,0,0
140.115.135.240,0.0104166666667,13,50795.6923077
140.115.135.245,0.0,15,479.133333333
140.115.135.246,0.0,3,1796.0
140.115.135.25,0.0,15,219.6
140.115.135.253,0.0,19,297.684210526
140.115.135.27,0.0,4,704.75
140.115.135.30,0.0,21,719.380952381
140.115.135.31,0.0,6,53.6666666667
140.115.135.36,0.0,1,152.0
140.115.135.4,0.0,12,34.5
140.115.135.42,0.0,21,32.8571428571
140.115.135.45,0.0,1,46.0
140.115.135.51,0.0,11,29.2727272727
140.115.135.56,0.0,8,40.25
140.115.135.6,0.0,14,29.5714285714
140.115.135.62,0.0,1,204.0
140.115.135.75,0.361604136604,190,28004.3684211
140.115.135.82,0.0,1,373.0
140.115.135.84,0.079191468254,74,20426.6081081
140.115.135.86,0.0,12,46.0
140.115.50.100,0.0,22,1559.77272727
140.115.50.101,0.0,2,46.0
140.115.50.11,0.0,14,46.0
140.115.50.110,0.0,18,136.722222222
140.115.50.12,0.0,10,4449.8
140.115.50.136,0,0,0
140.115.50.139,0.0,14,46.0
140.115.50.14,0.256388972074,274,30627.440146
140.115.50.143,0.0,11,41.8181818182
140.115.50.153,0.0,23,196.217391304
140.115.50.164,0,0,0
140.115.50.167,0.0602678571429,56,28309.4821429
140.115.50.172,0.0,1,323.0
140.115.50.18,0.0,20,39.1
140.115.50.186,0.0208333333333,18,2324.72222222
140.115.50.187,0.0,1,5508.0
140.115.50.19,0.0,16,40.25
140.115.50.21,0.0,11,58.5454545455
140.115.50.210,0.054968003306,1186,20065.4251265
140.115.50.212,0.0,16,254.0
140.115.50.213,0.0,22,466.409090909
140.115.50.216,0.0,17,182.941176471
140.115.50.217,0.0,21,102.857142857
140.115.50.219,0.0,6,61.3333333333
140.115.50.22,0.0,17,35.1764705882
140.115.50.221,0.0,11,216.0
140.115.50.222,0.0,15,480.066666667
140.115.50.223,0.0104166666667,25,722.28
140.115.50.23,0.0,20,39.1
140.115.50.234,0.0,10,164.4
140.115.50.24,0.204861111111,60,20294.6833333
140.115.50.249,0.0,13,42.4615384615
140.115.50.28,0.0,20,32.2
140.115.50.30,0.0,8,51.75
140.115.50.31,0.0,16,40.25
140.115.50.32,0.0,10,1165.7
140.115.50.33,0.0,11,37.6363636364
140.115.50.34,0.0,14,46.0
140.115.50.35,0.0,18,43.4444444444
140.115.50.36,0.00694444444444,13,1350.38461538
140.115.50.37,0.0,15,1727.73333333
140.115.50.38,0.0,13,1424.53846154
140.115.50.39,0.0,10,1660.0
140.115.50.40,0.0208333333333,13,273600.753846
140.115.50.43,0.0,11,41.8181818182
140.115.50.44,0,0,0
140.115.50.48,0.0,21,475.666666667
140.115.50.49,0.0,14,2754.71428571
140.115.50.50,0.104166666667,34,357.382352941
140.115.50.51,0.0,16,37.375
140.115.50.52,0.0,4,69.0
140.115.50.56,0.0,22,573.727272727
140.115.50.59,0.0,52,286.865384615
140.115.50.62,0.0,20,41.4
140.115.50.65,0.0,14,42.7142857143
140.115.50.71,0.0,12,99.3333333333
140.115.50.74,0.0,14,36.1428571429
140.115.50.75,0.0173611111111,15,680.8
140.115.50.83,0.0,17,37.8823529412
140.115.50.86,0.0,2,23.0
140.115.50.98,0.0,15,36.8
140.115.50.99,0.330555555556,43,4191.34883721
140.115.51.10,0.0,13,549.923076923
140.115.51.100,0.0,25,1218.96
140.115.51.105,0.0,1,242.0
140.115.51.11,0.0208333333333,14,346.071428571
140.115.51.111,0.0,28,116.25
140.115.51.116,0.0,18,1942.77777778
140.115.51.117,0.0,18,35.7777777778
140.115.51.118,0.0208333333333,10,881.1
140.115.51.119,0,0,0
140.115.51.128,0,0,0
140.115.51.134,0.0260416666667,36,228216.033333
140.115.51.136,0.0208333333333,18,3905.5
140.115.51.141,0.0,10,76.8
140.115.51.142,0.0,20,29.9
140.115.51.144,0,0,0
140.115.51.147,0.0,15,1202.0
140.115.51.148,0,0,0
140.115.51.16,0.0,20,81.9
140.115.51.167,0.0347222222222,26,389.846153846
140.115.51.17,0,0,0
140.115.51.174,0.0,15,39.8666666667
140.115.51.175,0.0,13,1621.15384615
140.115.51.176,0.0,14,2718.78571429
140.115.51.181,0,0,0
140.115.51.191,0.03125,31,469.096774194
140.115.51.196,0.0,9,464.555555556
140.115.51.197,0.0,15,42.9333333333
140.115.51.198,0.0,11,1091.36363636
140.115.51.2,0.0,1,645.0
140.115.51.200,0.0104166666667,11,5229.09090909
140.115.51.210,0.0,8,3509.125
140.115.51.214,0,0,0
140.115.51.215,0.00954861111111,20,105004.8
140.115.51.216,0.0231481481481,23,184.47826087
140.115.51.220,0,0,0
140.115.51.222,0.0,18,188.055555556
140.115.51.224,0.0,14,39.4285714286
140.115.51.232,0.0993303571429,53,167.79245283
140.115.51.233,0,0,0
140.115.51.234,0,0,0
140.115.51.235,0.0,14,42.7142857143
140.115.51.238,0.00416666666667,22,31.3636363636
140.115.51.249,0.0,19,33.8947368421
140.115.51.26,0.0,17,37.8823529412
140.115.51.27,0.0,12,869.416666667
140.115.51.3,0.0,1,965.0
140.115.51.30,0.0,14,42.7142857143
140.115.51.32,0.0,24,315.75
140.115.51.34,0.0,11,25.0909090909
140.115.51.35,0.0,16,31.625
140.115.51.38,0.0,18,35.7777777778
140.115.51.41,0.0,9,35.7777777778
140.115.51.51,0,0,0
140.115.51.61,0,0,0
140.115.51.66,0.0,13,827.384615385
140.115.51.71,0.0,4,34.5
140.115.51.75,0,0,0
140.115.51.78,0.0,28,116.428571429
140.115.51.86,0,0,0
140.115.51.87,0.0,17,996.294117647
140.115.51.93,0.0,1,75790.0
140.115.51.94,0.0,1,1310.0
140.115.52.108,0,0,0
140.115.52.112,0.0208333333333,7,600.857142857
