IP,THR,AC,PSS
140.115.135.1,0.0,21,32.8571428571
140.115.135.105,0.0,21,37.2380952381
140.115.135.111,0.0,22,892.136363636
140.115.135.115,0.0,21,68573.3809524
140.115.135.121,0.0,21,148.238095238
140.115.135.127,0.0,19,36.3157894737
140.115.135.128,0.0,19,38.7368421053
140.115.135.129,0.0,24,32.5833333333
140.115.135.130,0.0,18,33.2222222222
140.115.135.132,0.0104166666667,7,1285.0
140.115.135.135,0.0,9,530.333333333
140.115.135.149,0.0,10,2092.4
140.115.135.151,0,0,0
140.115.135.152,0,0,0
140.115.135.153,0.00520833333333,27,16041.1481481
140.115.135.156,0,0,0
140.115.135.18,0.0,19,334.263157895
140.115.135.180,0.0104166666667,35,289.314285714
140.115.135.205,0.0,22,283.363636364
140.115.135.23,0.0,19,31.4736842105
140.115.135.230,0.0,11,41.8181818182
140.115.135.231,0.0,13,38.9230769231
140.115.135.233,0.00694444444444,22,35.5454545455
140.115.135.235,0.0208333333333,20,303.0
140.115.135.24,0,0,0
140.115.135.240,0.0,12,164171.833333
140.115.135.245,0.0208333333333,25,332.56
140.115.135.246,0.0,6,681.0
140.115.135.25,0.0,20,221.1
140.115.135.253,0.0,19,104.842105263
140.115.135.27,0.0,6,592.166666667
140.115.135.30,0.0,29,579.068965517
140.115.135.31,0,0,0
140.115.135.36,0,0,0
140.115.135.4,0.0,16,37.375
140.115.135.42,0.0,19,38.7368421053
140.115.135.45,0,0,0
140.115.135.51,0,0,0
140.115.135.56,0,0,0
140.115.135.6,0.0,15,33.7333333333
140.115.135.62,0,0,0
140.115.135.75,0.39549287518,209,59062.8191388
140.115.135.82,0,0,0
140.115.135.84,0.071875,88,44195.375
140.115.135.86,0.0104166666667,22,31.3636363636
140.115.50.100,0.00694444444444,24,937.791666667
140.115.50.101,0,0,0
140.115.50.11,0.0,17,40.5882352941
140.115.50.110,0.00694444444444,26,163.461538462
140.115.50.12,0.0,9,3396.0
140.115.50.136,0,0,0
140.115.50.139,0.0104166666667,22,31.3636363636
140.115.50.14,0.209973130775,383,30131.2339426
140.115.50.143,0.0,19,36.3157894737
140.115.50.153,0.0,27,196.333333333
140.115.50.164,0,0,0
140.115.50.167,0.03125,45,31416.1111111
140.115.50.172,0,0,0
140.115.50.18,0.00694444444444,20,32.2
140.115.50.186,0,0,0
140.115.50.187,0.479166666667,23,5508.0
140.115.50.19,0.0,19,36.3157894737
140.115.50.21,0.0,21,35.0476190476
140.115.50.210,0.0901459210516,1907,11827.7528055
140.115.50.212,0.0277777777778,25,252.2
140.115.50.213,0.0451388888889,26,518.192307692
140.115.50.216,0,0,0
140.115.50.217,0,0,0
140.115.50.219,0.0,5,46.0
140.115.50.22,0.0,24,38.3333333333
140.115.50.221,0.0,20,225.35
140.115.50.222,0.0,21,220.714285714
140.115.50.223,0.0,23,271.52173913
140.115.50.23,0.0208333333333,20,29.9
140.115.50.234,0.0,7,144.857142857
140.115.50.24,0.209548611111,86,106407.383721
140.115.50.249,0.0,19,31.4736842105
140.115.50.28,0.0,15,39.8666666667
140.115.50.30,0.0,7,46.0
140.115.50.31,0.0,21,35.0476190476
140.115.50.32,0.0,11,452.363636364
140.115.50.33,0.0,18,33.2222222222
140.115.50.34,0.0,19,33.8947368421
140.115.50.35,0.0,17,29.7647058824
140.115.50.36,0.0,5,1743.8
140.115.50.37,0.0104166666667,8,2839.25
140.115.50.38,0.0,8,1787.375
140.115.50.39,0.0,8,1681.0
140.115.50.40,0.0,7,1287.0
140.115.50.43,0.0,19,41.1578947368
140.115.50.44,0,0,0
140.115.50.48,0.00694444444444,25,541.16
140.115.50.49,0.00694444444444,10,2980.5
140.115.50.50,0.307986111111,46,153.608695652
140.115.50.51,0.0,17,35.1764705882
140.115.50.52,0.0,4,57.5
140.115.50.56,0.215277777778,41,7662.73170732
140.115.50.59,0.0208333333333,25,39.12
140.115.50.62,0.0,18,35.7777777778
140.115.50.65,0.0,19,36.3157894737
140.115.50.71,0.0,5,98.4
140.115.50.74,0.0,20,32.2
140.115.50.75,0.0208333333333,7,412.0
140.115.50.83,0.0,16,37.375
140.115.50.86,0,0,0
140.115.50.98,0.0,23,28.0
140.115.50.99,0.272569444444,55,3279.47272727
140.115.51.10,0.0,9,892.444444444
140.115.51.100,0.0,21,2407.19047619
140.115.51.105,0.0,3,1591.66666667
140.115.51.11,0.0,6,763.666666667
140.115.51.111,0.0,32,123.625
140.115.51.116,0.0,30,1494.26666667
140.115.51.117,0.0,19,39.4210526316
140.115.51.118,0,0,0
140.115.51.119,0,0,0
140.115.51.128,0,0,0
140.115.51.134,0.00694444444444,27,4129.11111111
140.115.51.136,0.0208333333333,25,5808.56
140.115.51.141,0.0,7,54.5714285714
140.115.51.142,0.0,16,40.25
140.115.51.144,0,0,0
140.115.51.147,0.0,8,2149.875
140.115.51.148,0,0,0
140.115.51.16,0.0,17,49.0588235294
140.115.51.167,0.0708333333333,50,372.9
140.115.51.17,0,0,0
140.115.51.174,0.0,22,29.2727272727
