IP,THR,AC,PSS
140.115.135.1,0.0,50,23.0
140.115.135.105,0.0,33,33.4545454545
140.115.135.111,0.0104166666667,49,959.979591837
140.115.135.115,0.015625,31,12143.9677419
140.115.135.121,0.0642361111111,65,109.876923077
140.115.135.127,0.0,32,30.1875
140.115.135.128,0.0,29,31.724137931
140.115.135.129,0.0,29,31.724137931
140.115.135.130,0.0,30,35.2666666667
140.115.135.132,0.0104166666667,20,881.4
140.115.135.135,0.0208333333333,18,413.555555556
140.115.135.149,0.00520833333333,19,931.473684211
140.115.135.151,0.0,2,2796.0
140.115.135.152,0,0,0
140.115.135.153,0.0208333333333,30,3677.33333333
140.115.135.156,0,0,0
140.115.135.18,0.00520833333333,40,650.575
140.115.135.180,0.0208333333333,50,359.66
140.115.135.205,0.0,42,243.30952381
140.115.135.23,0.0,29,26.9655172414
140.115.135.230,0.0,24,38.3333333333
140.115.135.231,0.0,23,40.0
140.115.135.233,0.0,38,26.6315789474
140.115.135.235,0.0,44,217.590909091
140.115.135.24,0,0,0
140.115.135.240,0.00694444444444,27,73117.1481481
140.115.135.245,0.0,43,456.674418605
140.115.135.246,0.0,15,794.733333333
140.115.135.25,0.0,35,127.428571429
140.115.135.253,0.0,40,239.125
140.115.135.27,0.0,15,1370.06666667
140.115.135.30,0.0,40,461.775
140.115.135.31,0.0,17,43.2941176471
140.115.135.36,0.0,2,411.5
140.115.135.4,0.0,20,36.8
140.115.135.42,0.0,28,32.8571428571
140.115.135.45,0.0,5,46.0
140.115.135.51,0,0,0
140.115.135.56,0.0,12,34.5
140.115.135.6,0.0,19,36.3157894737
140.115.135.62,0.0,1,62.0
140.115.135.75,0.37360746892,219,26217.9287671
140.115.135.82,0,0,0
140.115.135.84,0.0748759920635,94,47008.187234
140.115.135.86,0.0,27,35.7777777778
140.115.50.100,0.00694444444444,47,706.872340426
140.115.50.101,0.0,4,34.5
140.115.50.11,0.0,36,30.6666666667
140.115.50.110,0.0,30,156.033333333
140.115.50.12,0.0,21,2357.71428571
140.115.50.136,0,0,0
140.115.50.139,0.0,33,29.2727272727
140.115.50.14,0.199614170713,388,96295.0994845
140.115.50.143,0.0,27,32.3703703704
140.115.50.153,0.0,36,157.666666667
140.115.50.164,0.0,2,144.0
140.115.50.167,0.0274801587302,80,19540.85
140.115.50.172,0,0,0
140.115.50.18,0.0,38,21.7894736842
140.115.50.186,0.00416666666667,16,97.1875
140.115.50.187,0.479166666667,23,5508.0
140.115.50.19,0.0,33,23.696969697
140.115.50.21,0.0,32,31.625
140.115.50.210,0.0720143234966,2189,12106.7597076
140.115.50.212,0.046875,32,204.71875
140.115.50.213,0.0277777777778,42,255.619047619
140.115.50.216,0.0,14,167.214285714
140.115.50.217,0.0,4,393.0
140.115.50.219,0.0,15,36.8
140.115.50.22,0.0104166666667,38,31.4736842105
140.115.50.221,0.0,17,168.117647059
140.115.50.222,0.0,40,212.35
140.115.50.223,0.0,38,330.052631579
140.115.50.23,0.0,34,31.1176470588
140.115.50.234,0.0208333333333,21,1453.80952381
140.115.50.24,0.0848214285714,77,257597.301299
140.115.50.249,0.0,27,37.4814814815
140.115.50.28,0.0,35,30.2285714286
140.115.50.30,0.0,11,37.6363636364
140.115.50.31,0.0,28,34.5
140.115.50.32,0.0,16,786.9375
