IP,THR,AC,PSS
140.115.135.1,0.00694444444444,37,32.3243243243
140.115.135.105,0.0,34,32.4705882353
140.115.135.111,0.0138888888889,47,629.361702128
140.115.135.115,0.0,25,2365.0
140.115.135.121,0.0,44,544.954545455
140.115.135.127,0.0,31,29.6774193548
140.115.135.128,0.0,29,36.4827586207
140.115.135.129,0.0,31,31.1612903226
140.115.135.130,0.0,27,32.3703703704
140.115.135.132,0.0364583333333,30,776.233333333
140.115.135.135,0.0,19,679.105263158
140.115.135.149,0.0416666666667,3,2504.33333333
140.115.135.151,0.0208333333333,4,48763.25
140.115.135.152,0.0,2,2503.5
140.115.135.153,0.0208333333333,22,3205.40909091
140.115.135.156,0,0,0
140.115.135.18,0.0121527777778,39,950.58974359
140.115.135.180,0.0138888888889,45,134.644444444
140.115.135.205,0.00520833333333,41,369.902439024
140.115.135.23,0.0,32,34.5
140.115.135.230,0.0,19,41.1578947368
140.115.135.231,0.0,18,40.8888888889
140.115.135.233,0.0,28,36.1428571429
140.115.135.235,0.0208333333333,41,313.317073171
140.115.135.24,0,0,0
140.115.135.240,0.0,27,73790.1111111
140.115.135.245,0.0104166666667,37,628.945945946
140.115.135.246,0.0104166666667,23,1371.56521739
140.115.135.25,0.0,35,189.457142857
140.115.135.253,0.00520833333333,35,256.514285714
140.115.135.27,0.00694444444444,21,755.476190476
140.115.135.30,0.0,47,753.063829787
140.115.135.31,0.0,8,23.0
140.115.135.36,0.0,2,2283.0
140.115.135.4,0.0,19,46.0
140.115.135.42,0.0104166666667,34,37.8823529412
140.115.135.45,0.0,9,25.5555555556
140.115.135.51,0.00694444444444,27,35.7777777778
140.115.135.56,0.0,17,29.7647058824
140.115.135.6,0.0,18,46.0
140.115.135.62,0,0,0
140.115.135.75,0.352619544807,236,112085.135593
140.115.135.82,0,0,0
140.115.135.84,0.0631944444444,87,32638.4137931
140.115.135.86,0.00694444444444,34,35.1764705882
140.115.50.100,0.0,39,817.769230769
140.115.50.101,0.0,12,34.5
140.115.50.11,0.0,30,38.3333333333
140.115.50.110,0.0,32,172.4375
140.115.50.12,0.0277777777778,19,2858.47368421
140.115.50.136,0.00520833333333,7,3130748.34286
140.115.50.139,0.0208333333333,34,36.5294117647
140.115.50.14,0.187773369711,372,99056.1569892
140.115.50.143,0.0,29,31.724137931
140.115.50.153,0.0,51,128.843137255
140.115.50.164,0.0,1,908.0
140.115.50.167,0.022619047619,79,27860.721519
140.115.50.172,0.0208333333333,12,700.75
140.115.50.18,0.0,27,34.0740740741
140.115.50.186,0.0,6,151.666666667
140.115.50.187,0.479166666667,23,5507.82608696
140.115.50.19,0.0,25,33.12
140.115.50.21,0.0,32,37.375
140.115.50.210,0.0649607245755,1902,13032.9147213
140.115.50.212,0.0104166666667,25,252.32
140.115.50.213,0.0104166666667,41,406.609756098
140.115.50.216,0.0,39,153.282051282
140.115.50.217,0.0132250816993,51,1051.47058824
140.115.50.219,0.0,12,30.6666666667
140.115.50.22,0.0,27,42.5925925926
140.115.50.221,0.0,35,145.885714286
140.115.50.222,0.0,38,540.947368421
140.115.50.223,0.0486111111111,48,541.4375
140.115.50.23,0.0,30,39.8666666667
140.115.50.234,0.0,20,183.0
140.115.50.24,0.126603835979,101,107309.990099
140.115.50.249,0.00694444444444,33,33.4545454545
140.115.50.28,0.0,33,39.0303030303
140.115.50.30,0.0,13,49.5384615385
140.115.50.31,0.0,37,34.8108108108
140.115.50.32,0.0208333333333,22,655.863636364
140.115.50.33,0.0,32,38.8125
140.115.50.34,0.0,33,32.0606060606
140.115.50.35,0.0,30,38.3333333333
140.115.50.36,0.0,21,1348.66666667
140.115.50.37,0.0,17,1334.35294118
140.115.50.38,0.0104166666667,20,1288.2
140.115.50.39,0.0,17,2280.64705882
140.115.50.40,0.0,26,57245.5153846
140.115.50.43,0.0,31,31.1612903226
140.115.50.44,0.0,1,7171.0
140.115.50.48,0.0208333333333,39,1265.84615385
140.115.50.49,0.0,19,2571.68421053
140.115.50.50,0.0763888888889,50,1299.34
140.115.50.51,0.0,35,36.8
140.115.50.52,0.0,15,33.7333333333
140.115.50.56,0.00694444444444,38,811.684210526
140.115.50.59,0.0208333333333,56,34.8571428571
140.115.50.62,0.0,33,39.0303030303
140.115.50.65,0.0,33,34.8484848485
140.115.50.71,0.0,13,144.153846154
140.115.50.74,0.0208333333333,36,31.9444444444
140.115.50.75,0.0694444444444,27,2420.85185185
140.115.50.83,0.0,28,34.5
140.115.50.86,0.0,1,46.0
140.115.50.98,0.0,28,29.5714285714
140.115.50.99,0.229340277778,70,2584.31428571
140.115.51.10,0.0,18,1148.44444444
140.115.51.100,0.015625,48,1454.14583333
140.115.51.105,0.0,1,2685.0
140.115.51.11,0.0,19,5038.78947368
140.115.51.111,0.0,53,96.7924528302
140.115.51.116,0.0,39,1059.17948718
140.115.51.117,0.0,28,34.5
140.115.51.118,0.0,19,618.315789474
140.115.51.119,0.0,1,46.0
140.115.51.128,0.0,1,961.0
140.115.51.134,0.0,45,78486.9066667
140.115.51.136,0.0277777777778,35,61111.5428571
140.115.51.141,0.0104166666667,24,57.3333333333
140.115.51.142,0.0,34,37.8823529412
140.115.51.144,0.0,1,858.0
140.115.51.147,0.0,19,1263.84210526
140.115.51.148,0,0,0
140.115.51.16,0.0,40,62.2
140.115.51.167,0.0399305555556,50,161.26
140.115.51.17,0,0,0
140.115.51.174,0.0,27,46.0
140.115.51.175,0.0,20,2888.5
140.115.51.176,0.0,17,2886.29411765
140.115.51.181,0.0,1,46751.0
140.115.51.191,0.0,38,536.552631579
140.115.51.196,0.0,6,250.166666667
140.115.51.197,0.0,32,37.375
140.115.51.198,0.0208333333333,23,694.086956522
140.115.51.2,0.0,2,1782.5
140.115.51.200,0.00694444444444,32,47167.7375
140.115.51.210,0.0208333333333,19,1648.26315789
140.115.51.214,0.0154356060606,49,621.551020408
140.115.51.215,0.0145833333333,33,193.848484848
140.115.51.216,0.0333581349206,31,120.677419355
140.115.51.220,0.0,1,2178.0
140.115.51.222,0.0,36,136.333333333
140.115.51.224,0.0,30,35.2666666667
140.115.51.232,0.155456349206,107,242.682242991
140.115.51.233,0.0,18,43.4444444444
140.115.51.234,0.0,5,641.4
140.115.51.235,0.0,29,26.9655172414
140.115.51.238,0.0,26,35.3846153846
140.115.51.249,0.0,24,36.4166666667
140.115.51.26,0.0,32,35.9375
140.115.51.27,0.0,23,726.52173913
140.115.51.3,0.0,2,419.5
140.115.51.30,0.0,29,34.8965517241
140.115.51.32,0.0,48,233.9375
140.115.51.34,0.0,26,44.2307692308
140.115.51.35,0.0,30,41.4
