IP,THR,AC,PSS
140.115.51.167,0.078505291,138,335.5869565
140.115.51.17,0,0,0
140.115.51.174,0,70,40.08571429
140.115.51.175,0.013888889,43,2327
140.115.51.176,0,37,2818.324324
140.115.51.181,0,2,24767
140.115.51.191,0.023611111,104,486.4230769
140.115.51.196,0,16,358
140.115.51.197,0,74,36.05405405
140.115.51.198,0.013888889,47,802.4893617
140.115.51.2,0,4,1225.25
140.115.51.200,0.011574074,71,22220.44507
140.115.51.210,0.013888889,36,1877.361111
140.115.51.214,0.085891154,151,279.5629139
140.115.51.215,0.033834877,115,18443.24348
140.115.51.216,0.062439374,80,158
140.115.51.220,0,1,2178
140.115.51.222,0,76,163.5526316
140.115.51.224,0,69,36
140.115.51.232,0.236789021,238,280.1386555
140.115.51.233,0,41,75.51219512
140.115.51.234,0,5,641.4
140.115.51.235,0,71,34.33802817
140.115.51.238,0.002777778,71,34.98591549
140.115.51.249,0,62,34.87096774
140.115.51.26,0,79,33.7721519
140.115.51.27,0.006944444,43,797.4186047
140.115.51.3,0,4,975.75
140.115.51.30,0,66,36.24242424
140.115.51.32,0.006944444,113,247.9469027
140.115.51.34,0,62,35.61290323
140.115.51.35,0,71,35.63380282
140.115.51.38,0,78,33.61538462
140.115.51.41,0,49,44.12244898
140.115.51.51,0,1,256
140.115.51.61,0,1,965
140.115.51.66,0.013888889,40,799.1
140.115.51.71,0,10,140.1
140.115.51.75,0,0,0
140.115.51.78,0,84,63.29761905
140.115.51.86,0,6,38.33333333
140.115.51.87,0.011574074,85,1533.494118
140.115.51.93,0,3,25624
140.115.51.94,0,2,1825
140.115.52.108,0.006944444,99,54.25252525
140.115.52.112,0.013888889,9,633.8888889
140.115.52.113,0.072048611,109,220.0642202
140.115.52.114,0.07537478,109,300.7981651
140.115.52.117,0.024305556,25,468.6
140.115.52.12,0,2,409.5
140.115.52.123,0,87,690.6436782
140.115.52.126,0,76,29.05263158
140.115.52.127,0.129077635,258,376.1666667
140.115.52.13,0,59,36.6440678
140.115.52.15,0.010416667,100,1552.06
140.115.52.162,0,80,728.7
140.115.52.165,0.00462963,71,36.28169014
140.115.52.176,0,2,797
140.115.52.178,0.094907407,50,959.64
140.115.52.179,0,1,1863
140.115.52.180,0,84,97.4047619
140.115.52.181,0.00462963,59,204.2542373
140.115.52.185,0,1,1427
140.115.52.188,0.006944444,71,36.92957746
140.115.52.19,0.013888889,75,35.57333333
140.115.52.190,0.001157407,263,150.6463878
140.115.52.193,0,70,36.14285714
140.115.52.194,0,40,35.65
140.115.52.2,0,78,380.0512821
140.115.52.20,0.027777778,70,39.42857143
140.115.52.21,0.011574074,74,34.81081081
140.115.52.23,0,67,35.70149254
140.115.52.27,0,72,36.41666667
140.115.52.3,0,71,33.69014085
140.115.52.31,0.013888889,55,1225.4
140.115.52.32,0,1,46
140.115.52.37,0,1,46
140.115.52.4,0,4,1397.25
140.115.52.40,0,0,0
140.115.52.48,0.011574074,88,121.625
140.115.52.51,0,1,46
140.115.52.52,0,4,2061.75
140.115.52.6,0,74,36.05405405
140.115.52.60,0,3,1181.666667
140.115.52.74,0.00437655,238,69.70588235
140.115.52.78,0.013888889,29,34.89655172
140.115.52.88,0,1,465
140.115.52.9,0.013888889,78,37.15384615
140.115.52.95,0.013888889,86,32.09302326
140.115.53.100,0,1,62
140.115.53.104,0,78,34.20512821
140.115.53.107,0,67,36.3880597
140.115.53.108,0.051245591,111,139.4954955
140.115.53.109,0,69,28
140.115.53.111,0,75,33.73333333
140.115.53.113,0,63,38.88888889
140.115.53.114,0,64,35.21875
140.115.53.115,0,70,34.82857143
140.115.53.117,0,64,28.03125
140.115.53.120,0,25,38.64
140.115.53.121,0,69,35.33333333
140.115.53.130,0,1,302
140.115.53.131,0,5,15.2
140.115.53.132,0,2,1731
140.115.53.135,0,78,199.7692308
140.115.53.137,0,35,36.8
140.115.53.138,0,0,0
140.115.53.141,0,1,46
140.115.53.142,0,63,30.66666667
140.115.53.154,0,74,31.08108108
140.115.53.155,0.006944444,80,354.675
140.115.53.158,0,61,294.7377049
140.115.53.159,0,1,46
140.115.53.222,0,0,0
140.115.53.223,0,0,0
140.115.53.224,0,21,35.04761905
140.115.53.225,0,23,48
140.115.53.226,0,68,31.79411765
140.115.53.230,0,0,0
140.115.53.236,0,0,0
140.115.53.45,0,70,36.8
140.115.53.46,0,66,33.45454545
140.115.53.47,0,65,33.96923077
140.115.53.50,0.013888889,39,862.3076923
140.115.53.59,0.361111111,79,71243.03038
140.115.53.64,0,1,46
140.115.53.65,0.119477513,168,1608.113095
140.115.53.66,0,67,32.95522388
140.115.53.67,0,71,34.98591549
140.115.53.68,0,1,46
140.115.53.80,0,36,558.2777778
140.115.53.85,0.018518519,48,1225.4375
140.115.53.90,0,75,33.12
140.115.53.92,0.025462963,105,33.2952381
140.115.53.94,0,81,31.80246914
140.115.53.95,0.013888889,69,32.66666667
140.115.53.98,0,70,36.8
140.115.53.99,0,70,32.85714286
140.115.50.24,0.138888889,16,18933
140.115.50.167,0,4,3439.75
140.115.51.136,0,2,7853
140.115.51.134,0,1,6782
140.115.50.21,0,1,152
140.115.135.151,0,1,1770
140.115.52.176,0,0,0
AVG,0.026498452,84.47407407,15029.53208
MAX,0.741718004,5233,3130748.343
MIN,0,0,0
