IP,THR,AC,PSS
140.115.135.1,0.008101852,101,29.14851485
140.115.135.105,0,82,32.53658537
140.115.135.111,0.009259259,97,611.4639175
140.115.135.115,0,56,6987.696429
140.115.135.121,0,105,521.7714286
140.115.135.127,0,73,31.50684932
140.115.135.128,0,72,33.22222222
140.115.135.129,0,73,33.39726027
140.115.135.130,0,71,33.69014085
140.115.135.132,0.024305556,46,1076.673913
140.115.135.135,0,39,573.5384615
140.115.135.149,0.027777778,16,1586.75
140.115.135.151,0.013888889,10,19519.1
140.115.135.152,0,2,2503.5
140.115.135.153,0.013888889,51,3969.392157
140.115.135.156,0,1,65
140.115.135.18,0.015046296,92,640.9673913
140.115.135.180,0.012731481,98,174.5714286
140.115.135.205,0.003472222,86,404.9069767
140.115.135.23,0,73,36.54794521
140.115.135.230,0.013888889,46,38
140.115.135.231,0,44,39.72727273
140.115.135.233,0.006944444,69,40
140.115.135.235,0.027777778,89,281.4719101
140.115.135.24,0,1,2795
140.115.135.240,0.041666667,63,73391.47619
140.115.135.245,0.013888889,83,476.1445783
140.115.135.246,0.013888889,37,1282.783784
140.115.135.25,0,72,202.75
140.115.135.253,0.017361111,86,237.3604651
140.115.135.27,0.00462963,33,624.1212121
140.115.135.30,0,106,628.6226415
140.115.135.31,0,22,37.63636364
140.115.135.36,0,4,1599.25
140.115.135.4,0,47,40.12765957
140.115.135.42,0.006944444,81,35.20987654
140.115.135.45,0,16,28.75
140.115.135.51,0.00462963,52,32.73076923
140.115.135.56,0,38,32.68421053
140.115.135.6,0,51,36.98039216
140.115.135.62,0,1,204
140.115.135.75,0.741718004,676,65444.29112
140.115.135.82,0,1,373
140.115.135.84,0.11807209,247,43663.04777
140.115.135.86,0.00462963,73,35.91780822
140.115.50.100,0,84,957.9880952
140.115.50.101,0,20,36.8
140.115.50.11,0,73,39.69863014
140.115.50.110,0.013888889,64,165.15625
140.115.50.12,0.018518519,35,3212.342857
140.115.50.136,0.003472222,7,3130748.343
140.115.50.139,0.013888889,67,37.07462687
140.115.50.14,0.444243381,1053,57101.95461
140.115.50.143,0,63,35.77777778
140.115.50.153,0.00462963,107,160.728972
140.115.50.164,0,1,908
140.115.50.167,0.364059744,302,20260.72517
140.115.50.172,0.013888889,15,623.4
140.115.50.18,0,70,37.45714286
140.115.50.186,0.013888889,26,1668.615385
140.115.50.187,0.666666667,49,5507.918367
140.115.50.19,0,66,34.15151515
140.115.50.21,0.1875,112,24.23214286
140.115.50.210,0.126922701,5233,18264.0978
140.115.50.212,0.006944444,60,244.8333333
140.115.50.213,0.013888889,86,345.9186047
140.115.50.216,0,70,174.0714286
140.115.50.217,0.041028156,197,59625.8203
140.115.50.219,0,23,40
140.115.50.22,0,72,37.05555556
140.115.50.221,0,65,176.9230769
140.115.50.222,0.013888889,78,414.3076923
140.115.50.223,0.074074074,99,490.7777778
140.115.50.23,0.013888889,75,38.64
140.115.50.234,0,39,216.3076923
140.115.50.24,0.491319444,312,55403.28269
140.115.50.249,0.00462963,68,36.52941176
140.115.50.28,0,77,37.03896104
140.115.50.30,0,29,47.5862069
140.115.50.31,0,82,35.34146341
140.115.50.32,0.013888889,38,871.2368421
140.115.50.33,0,67,37.07462687
140.115.50.34,0,72,38.97222222
140.115.50.35,0,70,39.42857143
140.115.50.36,0.00462963,46,1299.086957
140.115.50.37,0.011574074,49,1468.979592
140.115.50.38,0.006944444,47,1293.808511
140.115.50.39,0,33,2076.666667
140.115.50.40,0.013888889,54,93876.05926
140.115.50.43,0,62,37.09677419
140.115.50.44,0,1,7171
140.115.50.48,0.013888889,88,841.8409091
140.115.50.49,0,45,2908.688889
140.115.50.50,0.31712963,150,713.3866667
140.115.50.51,0,78,36.56410256
140.115.50.52,0,25,40.48
140.115.50.56,0.00462963,91,619.3296703
140.115.50.59,0.013888889,182,131.1703297
140.115.50.62,0,77,38.23376623
140.115.50.65,0,73,36.54794521
140.115.50.71,0,31,121.9354839
140.115.50.74,0.018518519,72,32.58333333
140.115.50.75,0.071759259,51,1574.176471
140.115.50.83,0.006944444,69,36.66666667
140.115.50.86,0,3,30.66666667
140.115.50.98,0,65,33.26153846
140.115.50.99,0.547337963,177,3148.813559
140.115.51.10,0,37,794.0810811
140.115.51.100,0.024305556,107,1766.271028
140.115.51.105,0,2,1463.5
140.115.51.11,0.013888889,38,2710.947368
140.115.51.111,0,124,107.5564516
140.115.51.116,0.006944444,84,1155.011905
140.115.51.117,0.006944444,71,34.83098592
140.115.51.118,0.013888889,29,708.9310345
140.115.51.119,0,1,46
140.115.51.128,0,1,961
140.115.51.134,0.260449735,171,69088.5731
140.115.51.136,0.158564815,124,18055.3871
140.115.51.141,0.006944444,41,65.31707317
140.115.51.142,0,78,34.20512821
140.115.51.144,0,1,858
140.115.51.147,0,43,1319.604651
140.115.51.148,0,1,2217
140.115.51.16,0.006944444,89,60.51685393
